ParticipantId,Formatted_time,Batterylevel
4264.0,2020-12-10 12:21:07,18
4264.0,2020-12-10 12:21:22,19
4264.0,2020-12-10 12:21:37,19
4264.0,2020-12-10 12:21:52,20
4264.0,2020-12-10 12:22:07,20
4264.0,2020-12-10 12:22:24,21
4264.0,2020-12-10 12:22:39,22
4264.0,2020-12-10 12:22:54,22
4264.0,2020-12-10 12:23:10,23
4264.0,2020-12-10 12:23:25,23
4264.0,2020-12-10 12:23:40,24
4264.0,2020-12-10 02:37:44,44
4264.0,2020-12-10 11:13:00,29
4264.0,2020-12-10 11:13:15,29
4264.0,2020-12-09 22:00:45,34
4264.0,2020-12-09 22:01:00,34
4264.0,2020-12-09 22:01:17,34
4264.0,2020-12-09 22:01:32,34
4264.0,2020-12-10 01:32:02,27
4264.0,2020-12-10 01:32:19,27
4264.0,2020-12-10 01:32:34,28
4264.0,2020-12-10 01:32:50,28
4264.0,2020-12-10 01:33:05,28
4264.0,2020-12-10 01:33:20,29
4264.0,2020-12-10 01:33:35,29
4264.0,2020-12-10 01:33:52,30
4264.0,2020-12-10 01:34:07,30
4264.0,2020-12-10 01:34:22,31
4264.0,2020-12-10 01:34:37,31
4264.0,2020-12-10 01:34:52,32
4264.0,2020-12-10 01:35:08,32
4264.0,2020-12-10 01:35:25,33
4264.0,2020-12-10 01:35:40,33
4264.0,2020-12-10 01:35:55,34
4264.0,2020-12-10 01:36:10,34
4264.0,2020-12-10 01:36:25,35
4264.0,2020-12-10 01:36:40,35
4264.0,2020-12-10 01:36:57,36
2704.0,2020-12-11 11:35:05,90
1628.0,2020-12-11 22:31:17,33
1628.0,2020-12-12 13:20:52,90
2704.0,2020-12-11 15:47:27,64
2704.0,2020-12-11 15:47:27,63
1628.0,2020-12-12 08:30:25,99
1628.0,2020-12-12 08:42:00,99
1628.0,2020-12-11 19:16:00,63
2704.0,2020-12-11 11:35:08,89
2704.0,2020-12-11 11:35:46,89
2704.0,2020-12-11 11:35:53,89
2704.0,2020-12-11 11:37:47,89
2704.0,2020-12-11 11:38:49,89
2704.0,2020-12-11 11:38:53,89
1628.0,2020-12-12 09:59:41,97
1628.0,2020-12-11 19:30:12,60.000003814697266
1628.0,2020-12-11 19:36:57,60.000003814697266
2704.0,2020-12-11 09:20:23,100
2704.0,2020-12-11 22:05:39,66
2704.0,2020-12-11 22:29:30,66
2704.0,2020-12-11 11:55:28,86
4264.0,2020-12-10 11:43:13,25
4264.0,2020-12-10 11:43:28,25
4264.0,2020-12-10 11:43:43,25
4264.0,2020-12-10 11:44:00,25
4264.0,2020-12-10 11:44:15,25
4264.0,2020-12-10 11:44:30,25
4264.0,2020-12-10 11:44:46,25
4264.0,2020-12-10 11:45:01,25
4264.0,2020-12-10 11:45:16,25
4264.0,2020-12-10 11:45:32,25
4264.0,2020-12-10 11:45:47,25
4264.0,2020-12-10 11:46:02,25
4264.0,2020-12-10 11:46:18,25
4264.0,2020-12-10 11:46:33,25
4264.0,2020-12-10 11:46:48,25
4264.0,2020-12-10 11:47:05,25
4264.0,2020-12-10 11:47:20,25
4264.0,2020-12-10 11:47:35,25
4264.0,2020-12-10 11:47:50,25
4264.0,2020-12-10 11:48:05,24
4264.0,2020-12-10 11:48:20,24
4264.0,2020-12-10 17:06:35,57
4264.0,2020-12-10 17:06:50,57
4264.0,2020-12-10 17:07:06,57
4264.0,2020-12-10 17:07:21,57
4264.0,2020-12-10 17:07:36,57
4264.0,2020-12-10 17:07:51,57
4264.0,2020-12-10 17:08:06,57
4264.0,2020-12-10 17:08:22,57
4264.0,2020-12-10 17:08:37,57
4264.0,2020-12-10 17:08:52,57
4264.0,2020-12-10 17:09:07,57
4264.0,2020-12-10 17:09:23,57
4264.0,2020-12-10 17:09:38,57
4264.0,2020-12-10 17:09:54,57
4264.0,2020-12-10 17:10:09,57
4264.0,2020-12-10 17:10:24,57
4264.0,2020-12-10 17:10:40,57
4264.0,2020-12-10 17:10:55,57
4264.0,2020-12-10 17:11:10,57
4264.0,2020-12-10 17:11:26,57
4264.0,2020-12-10 20:44:30,36
4264.0,2020-12-10 20:44:47,36
4264.0,2020-12-10 20:45:02,36
4264.0,2020-12-10 20:45:17,36
4264.0,2020-12-10 01:28:27,20
4264.0,2020-12-10 01:28:42,20
4264.0,2020-12-10 01:28:57,21
4264.0,2020-12-10 01:29:14,21
4264.0,2020-12-10 01:29:29,22
4264.0,2020-12-10 01:29:44,22
4264.0,2020-12-10 01:30:00,23
4264.0,2020-12-10 01:30:15,23
4264.0,2020-12-10 01:30:30,24
4264.0,2020-12-10 01:30:47,24
4264.0,2020-12-10 01:31:02,25
4264.0,2020-12-10 01:31:17,25
4264.0,2020-12-10 01:31:32,26
4264.0,2020-12-10 01:31:47,26
4264.0,2020-12-10 17:37:01,52
4264.0,2020-12-10 17:37:19,52
4264.0,2020-12-10 17:37:36,52
4264.0,2020-12-10 17:37:54,52
4264.0,2020-12-10 17:38:12,52
4264.0,2020-12-10 17:38:27,52
4264.0,2020-12-10 17:38:42,52
4264.0,2020-12-10 17:38:57,52
4264.0,2020-12-10 17:39:15,51
4264.0,2020-12-10 17:39:30,51
4264.0,2020-12-10 17:39:45,51
4264.0,2020-12-10 17:40:00,51
4264.0,2020-12-10 17:40:16,51
4264.0,2020-12-10 17:40:31,51
4264.0,2020-12-10 17:40:48,51
4264.0,2020-12-10 17:41:03,51
4264.0,2020-12-10 17:41:18,51
4264.0,2020-12-10 17:41:33,51
4264.0,2020-12-10 17:41:48,51
1628.0,2020-12-12 07:55:12,100
2704.0,2020-12-11 16:58:33,55
4264.0,2020-12-10 03:06:39,40
4264.0,2020-12-10 03:06:54,39
4264.0,2020-12-10 03:07:09,39
4264.0,2020-12-10 03:07:26,39
4264.0,2020-12-10 03:07:41,39
4264.0,2020-12-10 03:07:56,39
1628.0,2020-12-12 11:52:33,94
1628.0,2020-12-12 12:06:38,94
2704.0,2020-12-11 15:31:47,66
2704.0,2020-12-11 23:09:06,60.000003814697266
1628.0,2020-12-12 16:57:44,100
4264.0,2020-12-09 22:21:58,31
4264.0,2020-12-09 22:22:13,31
4264.0,2020-12-09 22:22:28,31
4264.0,2020-12-09 22:22:43,31
4264.0,2020-12-09 22:22:58,31
4264.0,2020-12-09 22:23:13,31
4264.0,2020-12-09 22:23:28,31
4264.0,2020-12-09 22:23:45,31
4264.0,2020-12-09 22:24:02,31
4264.0,2020-12-09 22:24:21,31
4264.0,2020-12-09 22:24:36,31
4264.0,2020-12-09 22:24:51,31
4264.0,2020-12-09 22:25:06,31
4264.0,2020-12-09 22:25:23,31
4264.0,2020-12-09 22:25:38,31
4264.0,2020-12-09 22:25:53,31
4264.0,2020-12-09 22:26:08,31
4264.0,2020-12-09 23:53:07,26
4264.0,2020-12-09 23:53:22,26
4264.0,2020-12-09 23:53:38,26
4264.0,2020-12-09 23:53:53,26
4264.0,2020-12-09 23:54:08,26
4264.0,2020-12-09 23:54:23,26
4264.0,2020-12-09 23:54:40,26
4264.0,2020-12-09 23:54:55,26
4264.0,2020-12-09 23:55:10,26
4264.0,2020-12-09 23:55:25,26
4264.0,2020-12-09 23:55:40,26
4264.0,2020-12-09 23:55:55,26
4264.0,2020-12-09 23:56:12,26
4264.0,2020-12-09 23:56:28,26
4264.0,2020-12-09 23:56:43,26
4264.0,2020-12-09 23:56:58,26
4264.0,2020-12-09 23:57:13,26
4264.0,2020-12-09 23:57:28,26
4264.0,2020-12-09 23:57:45,26
4264.0,2020-12-10 02:27:51,45
4264.0,2020-12-10 02:28:08,45
4264.0,2020-12-10 02:28:26,45
4264.0,2020-12-10 02:28:41,45
4264.0,2020-12-10 02:28:56,45
4264.0,2020-12-10 02:29:11,45
4264.0,2020-12-10 02:29:28,45
4264.0,2020-12-10 02:29:43,45
4264.0,2020-12-10 02:29:58,45
4264.0,2020-12-10 02:30:14,45
4264.0,2020-12-10 02:30:29,45
4264.0,2020-12-10 02:30:44,45
4264.0,2020-12-10 02:31:01,45
4264.0,2020-12-10 02:31:16,45
4264.0,2020-12-10 02:31:31,45
4264.0,2020-12-10 02:31:46,45
4264.0,2020-12-10 02:32:01,45
4264.0,2020-12-10 02:32:16,45
4264.0,2020-12-10 02:32:34,45
2704.0,2020-12-11 16:58:42,54.000003814697266
2704.0,2020-12-11 16:58:57,54.000003814697266
2704.0,2020-12-11 16:59:12,54.000003814697266
2704.0,2020-12-11 16:59:27,54.000003814697266
4264.0,2020-12-10 14:45:21,70
4264.0,2020-12-10 14:45:36,70
4264.0,2020-12-10 14:45:51,70
4264.0,2020-12-10 14:46:07,69
4264.0,2020-12-10 14:46:23,69
4264.0,2020-12-10 14:46:38,69
4264.0,2020-12-10 14:46:53,69
4264.0,2020-12-10 14:47:13,69
4264.0,2020-12-10 14:47:29,69
4264.0,2020-12-10 14:47:44,69
4264.0,2020-12-10 14:47:59,69
4264.0,2020-12-10 14:48:16,69
4264.0,2020-12-10 14:48:31,69
4264.0,2020-12-10 14:48:46,69
4264.0,2020-12-10 14:49:01,69
4264.0,2020-12-10 14:49:16,69
4264.0,2020-12-10 14:49:32,69
4264.0,2020-12-10 14:49:49,69
4264.0,2020-12-10 14:50:04,69
4264.0,2020-12-10 02:07:31,48
4264.0,2020-12-10 02:07:46,48
4264.0,2020-12-10 02:08:02,48
4264.0,2020-12-10 02:08:17,48
4264.0,2020-12-10 02:08:32,48
4264.0,2020-12-10 02:08:47,47
4264.0,2020-12-10 02:09:04,47
4264.0,2020-12-10 02:09:20,47
4264.0,2020-12-10 02:09:35,47
4264.0,2020-12-10 02:09:50,47
4264.0,2020-12-10 02:10:05,47
4264.0,2020-12-10 02:10:20,47
4264.0,2020-12-10 02:10:37,47
4264.0,2020-12-10 02:10:52,47
4264.0,2020-12-10 02:11:07,47
4264.0,2020-12-10 02:11:23,47
4264.0,2020-12-10 02:11:38,47
4264.0,2020-12-10 19:12:48,43
4264.0,2020-12-10 19:13:03,43
4264.0,2020-12-10 19:13:19,43
4264.0,2020-12-10 19:13:34,43
4264.0,2020-12-10 19:13:54,43
4264.0,2020-12-10 19:14:09,43
4264.0,2020-12-10 19:14:24,43
4264.0,2020-12-10 19:14:40,43
4264.0,2020-12-10 19:14:56,43
