Row_id,Type,Id,DeviceId,Timestamp,ProtocolId,BuildId,ParticipantId,DeviceManufacturer,DeviceModel,OperatingSystem,TaggedEventId,TaggedEventTags,SensingAgentStateDescription,LocalOffsetFromUTC,Decibels,BatteryLevel,AccessPointBSSID,Activity,Phase,State,Confidence,Latitude,Longitude,LocationAccuracy,ProtocolName,Formatted_time
9975,"Sensus.Probes.Context.SoundDatum, SensusAndroid",f58ea55f-b757-423a-8621-c9bf44357961,b6c7054108615ca5,2020-12-10 08:33:05.957989+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,69.96069447374053,,,,,,,,,,,2020-12-10 03:33:05
9976,"Sensus.Probes.Location.LocationDatum, SensusAndroid",59272922-6454-4e4a-bc90-6e034ee91a47,b6c7054108615ca5,2020-12-10 08:33:15.262674+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,,,,,,,35.306957,-80.7236179,11.579000473022461,,2020-12-10 03:33:15
9977,"Sensus.Probes.Device.BatteryDatum, SensusAndroid",4e32b33f-a032-4895-afe0-74ee555f6fad,b6c7054108615ca5,2020-12-10 08:33:20.922272+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,38.0,,,,,,,,,,2020-12-10 03:33:20
9978,"Sensus.Probes.Location.LocationDatum, SensusiOS",58a6a2cf-1ba5-4f59-90f1-fbe72919e8c2,35CBCC4A-FE51-4C73-922A-C625260DD97D,2020-12-11 16:42:47.065219+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,2704.0,Apple,"iPhone13,3",iOS 14.1,,,,-05:00:00,,,,,,,,35.31092457010905,-80.72298643186755,11.672916036031996,,2020-12-11 11:42:47
9979,"Sensus.Probes.Device.BatteryDatum, SensusiOS",90667765-1554-4f58-9253-6e35784a424a,35CBCC4A-FE51-4C73-922A-C625260DD97D,2020-12-11 16:43:00.843959+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,2704.0,Apple,"iPhone13,3",iOS 14.1,,,,-05:00:00,,88.0,,,,,,,,,,2020-12-11 11:43:00
9980,"Sensus.Probes.Network.WlanDatum, SensusiOS",af1086cb-d67c-4b8b-84b0-1cbbe95660a8,35CBCC4A-FE51-4C73-922A-C625260DD97D,2020-12-11 16:43:00.873236+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,2704.0,Apple,"iPhone13,3",iOS 14.1,,,,-05:00:00,,,90:3a:72:6:d4:7c,,,,,,,,,2020-12-11 11:43:00
9981,"Sensus.Probes.Movement.ActivityDatum, SensusiOS",769ff328-5bec-4966-b76e-cbed708bb660,35CBCC4A-FE51-4C73-922A-C625260DD97D,2020-12-11 16:41:20.976000+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,2704.0,Apple,"iPhone13,3",iOS 14.1,,,,-05:00:00,,,,Still,Starting,Active,High,,,,,2020-12-11 11:41:20
9982,"Sensus.Probes.Location.LocationDatum, SensusiOS",c4bb9e63-9f74-4fbc-8daa-208b90f25062,35CBCC4A-FE51-4C73-922A-C625260DD97D,2020-12-11 16:43:00.898693+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,2704.0,Apple,"iPhone13,3",iOS 14.1,,,,-05:00:00,,,,,,,,35.31092457010905,-80.72298643186755,4.169362772427467,,2020-12-11 11:43:00
9983,"Sensus.Probes.Device.BatteryDatum, SensusiOS",dd3b2342-f35d-4900-993f-ee163861ccc1,35CBCC4A-FE51-4C73-922A-C625260DD97D,2020-12-11 16:43:16.270583+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,2704.0,Apple,"iPhone13,3",iOS 14.1,,,,-05:00:00,,88.0,,,,,,,,,,2020-12-11 11:43:16
9984,"Sensus.Probes.Network.WlanDatum, SensusiOS",42d54de1-2246-4e8f-ad71-5098660c1056,35CBCC4A-FE51-4C73-922A-C625260DD97D,2020-12-11 16:43:16.295523+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,2704.0,Apple,"iPhone13,3",iOS 14.1,,,,-05:00:00,,,90:3a:72:6:d4:7c,,,,,,,,,2020-12-11 11:43:16
9985,"Sensus.Probes.Location.LocationDatum, SensusiOS",91849de6-91cb-4e48-8a6d-ca14c88360e4,35CBCC4A-FE51-4C73-922A-C625260DD97D,2020-12-11 16:43:16.296158+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,2704.0,Apple,"iPhone13,3",iOS 14.1,,,,-05:00:00,,,,,,,,35.31084536112408,-80.72293412879176,4.013436911892339,,2020-12-11 11:43:16
9986,"Sensus.Probes.Device.BatteryDatum, SensusiOS",6f8cd4c1-31fb-4772-bb80-ad8390da6350,35CBCC4A-FE51-4C73-922A-C625260DD97D,2020-12-11 16:43:23.298675+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,2704.0,Apple,"iPhone13,3",iOS 14.1,,,,-05:00:00,,88.0,,,,,,,,,,2020-12-11 11:43:23
9987,"Sensus.Probes.Location.LocationDatum, SensusiOS",597911bb-28b9-4b81-a56f-9b549f85dc51,35CBCC4A-FE51-4C73-922A-C625260DD97D,2020-12-11 16:43:23.442416+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,2704.0,Apple,"iPhone13,3",iOS 14.1,,,,-05:00:00,,,,,,,,35.31088119376014,-80.72291585624285,5.245597602467391,,2020-12-11 11:43:23
9988,"Sensus.Probes.Network.WlanDatum, SensusiOS",985c720e-bd3f-4339-a699-2b437eb9a02d,35CBCC4A-FE51-4C73-922A-C625260DD97D,2020-12-11 16:43:23.698617+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,2704.0,Apple,"iPhone13,3",iOS 14.1,,,,-05:00:00,,,90:3a:72:6:d4:7c,,,,,,,,,2020-12-11 11:43:23
